scenario,reynolds,timesteps,p,aa_iterations_proxy,quantum_collision_only_seconds_proxy,best_measured_classical_seconds,ratio_quantum_collision_only_to_classical,omitted_quantum_costs
optimistic,10,10,0.006564409237487,10.0,0.12112800000000001,0.1843054190003386,0.6572134485084103,"state preparation, global streaming, extraction, routing between blocks"
optimistic,10,100,0.006564409237487,10.0,1.2112800000000001,0.1843054190003386,6.572134485084103,"state preparation, global streaming, extraction, routing between blocks"
optimistic,10,1000,0.006564409237487,10.0,12.1128,0.1843054190003386,65.72134485084102,"state preparation, global streaming, extraction, routing between blocks"
optimistic,100,10,0.0063346597253879,10.0,0.12112800000000001,0.19807729100011784,0.6115188641181889,"state preparation, global streaming, extraction, routing between blocks"
optimistic,100,100,0.0063346597253879,10.0,1.2112800000000001,0.19807729100011784,6.115188641181889,"state preparation, global streaming, extraction, routing between blocks"
optimistic,100,1000,0.0063346597253879,10.0,12.1128,0.19807729100011784,61.15188641181888,"state preparation, global streaming, extraction, routing between blocks"
optimistic,400,10,0.0063156770124785,10.0,0.12112800000000001,0.17981715699988854,0.6736175903396977,"state preparation, global streaming, extraction, routing between blocks"
optimistic,400,100,0.0063156770124785,10.0,1.2112800000000001,0.17981715699988854,6.736175903396976,"state preparation, global streaming, extraction, routing between blocks"
optimistic,400,1000,0.0063156770124785,10.0,12.1128,0.17981715699988854,67.36175903396976,"state preparation, global streaming, extraction, routing between blocks"
optimistic,1000,10,0.0063118835489593,10.0,0.12112800000000001,0.19029847899946617,0.6365158599104715,"state preparation, global streaming, extraction, routing between blocks"
optimistic,1000,100,0.0063118835489593,10.0,1.2112800000000001,0.19029847899946617,6.365158599104715,"state preparation, global streaming, extraction, routing between blocks"
optimistic,1000,1000,0.0063118835489593,10.0,12.1128,0.19029847899946617,63.65158599104714,"state preparation, global streaming, extraction, routing between blocks"
optimistic,2000,10,0.0063118835489593,10.0,0.12112800000000001,0.18523989299956156,0.6538980240087199,"state preparation, global streaming, extraction, routing between blocks"
optimistic,2000,100,0.0063118835489593,10.0,1.2112800000000001,0.18523989299956156,6.5389802400871995,"state preparation, global streaming, extraction, routing between blocks"
optimistic,2000,1000,0.0063118835489593,10.0,12.1128,0.18523989299956156,65.38980240087199,"state preparation, global streaming, extraction, routing between blocks"
optimistic,5000,10,0.0063118835489593,10.0,0.12112800000000001,0.18338175499957288,0.6605237254942954,"state preparation, global streaming, extraction, routing between blocks"
optimistic,5000,100,0.0063118835489593,10.0,1.2112800000000001,0.18338175499957288,6.6052372549429546,"state preparation, global streaming, extraction, routing between blocks"
optimistic,5000,1000,0.0063118835489593,10.0,12.1128,0.18338175499957288,66.05237254942953,"state preparation, global streaming, extraction, routing between blocks"
base,10,10,0.006564409237487,10.0,2.42256,0.1843054190003386,13.144268970168204,"state preparation, global streaming, extraction, routing between blocks"
base,10,100,0.006564409237487,10.0,24.2256,0.1843054190003386,131.44268970168204,"state preparation, global streaming, extraction, routing between blocks"
base,10,1000,0.006564409237487,10.0,242.256,0.1843054190003386,1314.4268970168205,"state preparation, global streaming, extraction, routing between blocks"
base,100,10,0.0063346597253879,10.0,2.42256,0.19807729100011784,12.230377282363776,"state preparation, global streaming, extraction, routing between blocks"
base,100,100,0.0063346597253879,10.0,24.2256,0.19807729100011784,122.30377282363776,"state preparation, global streaming, extraction, routing between blocks"
base,100,1000,0.0063346597253879,10.0,242.256,0.19807729100011784,1223.0377282363777,"state preparation, global streaming, extraction, routing between blocks"
base,400,10,0.0063156770124785,10.0,2.42256,0.17981715699988854,13.47235180679395,"state preparation, global streaming, extraction, routing between blocks"
base,400,100,0.0063156770124785,10.0,24.2256,0.17981715699988854,134.72351806793952,"state preparation, global streaming, extraction, routing between blocks"
base,400,1000,0.0063156770124785,10.0,242.256,0.17981715699988854,1347.2351806793952,"state preparation, global streaming, extraction, routing between blocks"
base,1000,10,0.0063118835489593,10.0,2.42256,0.19029847899946617,12.730317198209429,"state preparation, global streaming, extraction, routing between blocks"
base,1000,100,0.0063118835489593,10.0,24.2256,0.19029847899946617,127.30317198209428,"state preparation, global streaming, extraction, routing between blocks"
base,1000,1000,0.0063118835489593,10.0,242.256,0.19029847899946617,1273.031719820943,"state preparation, global streaming, extraction, routing between blocks"
base,2000,10,0.0063118835489593,10.0,2.42256,0.18523989299956156,13.077960480174395,"state preparation, global streaming, extraction, routing between blocks"
base,2000,100,0.0063118835489593,10.0,24.2256,0.18523989299956156,130.77960480174397,"state preparation, global streaming, extraction, routing between blocks"
base,2000,1000,0.0063118835489593,10.0,242.256,0.18523989299956156,1307.7960480174397,"state preparation, global streaming, extraction, routing between blocks"
base,5000,10,0.0063118835489593,10.0,2.42256,0.18338175499957288,13.210474509885906,"state preparation, global streaming, extraction, routing between blocks"
base,5000,100,0.0063118835489593,10.0,24.2256,0.18338175499957288,132.10474509885907,"state preparation, global streaming, extraction, routing between blocks"
base,5000,1000,0.0063118835489593,10.0,242.256,0.18338175499957288,1321.0474509885908,"state preparation, global streaming, extraction, routing between blocks"
pessimistic,10,10,0.006564409237487,10.0,19.38048,0.1843054190003386,105.15415176134563,"state preparation, global streaming, extraction, routing between blocks"
pessimistic,10,100,0.006564409237487,10.0,193.8048,0.1843054190003386,1051.5415176134563,"state preparation, global streaming, extraction, routing between blocks"
pessimistic,10,1000,0.006564409237487,10.0,1938.048,0.1843054190003386,10515.415176134564,"state preparation, global streaming, extraction, routing between blocks"
pessimistic,100,10,0.0063346597253879,10.0,19.38048,0.19807729100011784,97.8430182589102,"state preparation, global streaming, extraction, routing between blocks"
pessimistic,100,100,0.0063346597253879,10.0,193.8048,0.19807729100011784,978.4301825891021,"state preparation, global streaming, extraction, routing between blocks"
pessimistic,100,1000,0.0063346597253879,10.0,1938.048,0.19807729100011784,9784.301825891022,"state preparation, global streaming, extraction, routing between blocks"
pessimistic,400,10,0.0063156770124785,10.0,19.38048,0.17981715699988854,107.7788144543516,"state preparation, global streaming, extraction, routing between blocks"
pessimistic,400,100,0.0063156770124785,10.0,193.8048,0.17981715699988854,1077.7881445435162,"state preparation, global streaming, extraction, routing between blocks"
